1.38._Kurzy_ČNB_od_30._3._2007.txt,kriterium,nezpravodajský
1.38._Kurzy_ČNB_od_30._3._2007.txt,odstavce,1
1.38._Kurzy_ČNB_od_30._3._2007.txt,politicka_zprava,Ne
1.38._Kurzy_ČNB_od_30._3._2007.txt,vecne,Ne
1.38._Kurzy_ČNB_od_30._3._2007.txt,vyvazenost,absence zdrojů a úhlů pohledu
1.38._Kurzy_ČNB_od_30._3._2007.txt,obtezujici_okolnosti,Ne
1.38._Kurzy_ČNB_od_30._3._2007.txt,dotazy,Ne
1.5._Vedení_ODS:_Zvolte_Klause_opět_prezidentem.txt,kriterium,vyhovující
1.5._Vedení_ODS:_Zvolte_Klause_opět_prezidentem.txt,odstavce,3
1.5._Vedení_ODS:_Zvolte_Klause_opět_prezidentem.txt,politicka_zprava,Ano
1.5._Vedení_ODS:_Zvolte_Klause_opět_prezidentem.txt,vecne,Ano
1.5._Vedení_ODS:_Zvolte_Klause_opět_prezidentem.txt,vyvazenost,různé úhly pohledu
1.5._Vedení_ODS:_Zvolte_Klause_opět_prezidentem.txt,obtezujici_okolnosti,Ne
1.5._Vedení_ODS:_Zvolte_Klause_opět_prezidentem.txt,dotazy,Ne
1.26._Zeman_byl_u_zrodu_nové_strany_Jany_Volfové.txt,kriterium,vyhovující
1.26._Zeman_byl_u_zrodu_nové_strany_Jany_Volfové.txt,odstavce,9
1.26._Zeman_byl_u_zrodu_nové_strany_Jany_Volfové.txt,politicka_zprava,Ano
1.26._Zeman_byl_u_zrodu_nové_strany_Jany_Volfové.txt,vecne,Ano
1.26._Zeman_byl_u_zrodu_nové_strany_Jany_Volfové.txt,vyvazenost,různé úhly pohledu
1.26._Zeman_byl_u_zrodu_nové_strany_Jany_Volfové.txt,obtezujici_okolnosti,Ne
1.26._Zeman_byl_u_zrodu_nové_strany_Jany_Volfové.txt,dotazy,Ne
1.49._Pacienti_mají_znát_vše_důležité.txt,kriterium,vyhovující
1.49._Pacienti_mají_znát_vše_důležité.txt,odstavce,3
1.49._Pacienti_mají_znát_vše_důležité.txt,politicka_zprava,Ne
1.49._Pacienti_mají_znát_vše_důležité.txt,vecne,Ano
1.49._Pacienti_mají_znát_vše_důležité.txt,vyvazenost,různé úhly pohledu
1.49._Pacienti_mají_znát_vše_důležité.txt,obtezujici_okolnosti,Ne
1.49._Pacienti_mají_znát_vše_důležité.txt,dotazy,Ne
1.8._Langer_chce_šéfa_policie_na_pět_let.txt,kriterium,vyhovující
1.8._Langer_chce_šéfa_policie_na_pět_let.txt,odstavce,2
1.8._Langer_chce_šéfa_policie_na_pět_let.txt,politicka_zprava,Ano
1.8._Langer_chce_šéfa_policie_na_pět_let.txt,vecne,Ano
1.8._Langer_chce_šéfa_policie_na_pět_let.txt,vyvazenost,různé úhly pohledu
1.8._Langer_chce_šéfa_policie_na_pět_let.txt,obtezujici_okolnosti,Ne
1.8._Langer_chce_šéfa_policie_na_pět_let.txt,dotazy,Ne
1.63._Topolánek_zuří_pořád_říká_senátor.txt,kriterium,vyhovující
1.63._Topolánek_zuří_pořád_říká_senátor.txt,odstavce,1
1.63._Topolánek_zuří_pořád_říká_senátor.txt,politicka_zprava,Ano
1.63._Topolánek_zuří_pořád_říká_senátor.txt,vecne,Ano
1.63._Topolánek_zuří_pořád_říká_senátor.txt,vyvazenost,různé úhly pohledu
1.63._Topolánek_zuří_pořád_říká_senátor.txt,obtezujici_okolnosti,Ne
1.63._Topolánek_zuří_pořád_říká_senátor.txt,dotazy,Ne
1.93._Sociolog:_Čunek_vyvolává_rasové_démony.txt,kriterium,vyhovující
1.93._Sociolog:_Čunek_vyvolává_rasové_démony.txt,odstavce,6
1.93._Sociolog:_Čunek_vyvolává_rasové_démony.txt,politicka_zprava,Ano
1.93._Sociolog:_Čunek_vyvolává_rasové_démony.txt,vecne,Ano
1.93._Sociolog:_Čunek_vyvolává_rasové_démony.txt,vyvazenost,různé úhly pohledu
1.93._Sociolog:_Čunek_vyvolává_rasové_démony.txt,obtezujici_okolnosti,Ne
1.93._Sociolog:_Čunek_vyvolává_rasové_démony.txt,dotazy,Ne
1.13._Takto_žáky_zkoušet_nechceme.txt,kriterium,vyhovující
1.13._Takto_žáky_zkoušet_nechceme.txt,odstavce,4
1.13._Takto_žáky_zkoušet_nechceme.txt,politicka_zprava,Ano
1.13._Takto_žáky_zkoušet_nechceme.txt,vecne,Ano
1.13._Takto_žáky_zkoušet_nechceme.txt,vyvazenost,různé úhly pohledu
1.13._Takto_žáky_zkoušet_nechceme.txt,obtezujici_okolnosti,Ne
