file,prompt_key,rating,rater_1.csv,rater_2.csv,rater_3.csv,majority,worst_case
Chci_spravedlnost_pro_dceru.txt,rozsah,single_choice,5,5,5,5,--WORST-CASE
Chci_spravedlnost_pro_dceru.txt,zanr,single_choice,report,other,report,report,--WORST-CASE
Chci_spravedlnost_pro_dceru.txt,spoustec-zpravy,single_choice,public,public,security-forces,public,--WORST-CASE
Chci_spravedlnost_pro_dceru.txt,misto,czech-republic,True,True,True,True,False
Chci_spravedlnost_pro_dceru.txt,misto,slovakia,False,False,False,False,True
Chci_spravedlnost_pro_dceru.txt,misto,poland,False,False,False,False,True
Chci_spravedlnost_pro_dceru.txt,misto,germany,False,False,False,False,True
Chci_spravedlnost_pro_dceru.txt,misto,russia,False,False,False,False,True
Chci_spravedlnost_pro_dceru.txt,misto,ukraine,False,False,False,False,True
Chci_spravedlnost_pro_dceru.txt,misto,other,False,False,False,False,True
Chci_spravedlnost_pro_dceru.txt,misto,unknown,False,False,False,False,True
Tvrdík_skončil_jako_viceprezident.txt,rozsah,single_choice,4,4,4,4,--WORST-CASE
Tvrdík_skončil_jako_viceprezident.txt,zanr,single_choice,report,report,report,report,--WORST-CASE
Tvrdík_skončil_jako_viceprezident.txt,spoustec-zpravy,single_choice,public,public,politician,public,--WORST-CASE
Tvrdík_skončil_jako_viceprezident.txt,misto,czech-republic,True,True,True,True,False
Tvrdík_skončil_jako_viceprezident.txt,misto,slovakia,False,False,False,False,True
Tvrdík_skončil_jako_viceprezident.txt,misto,poland,False,False,False,False,True
Tvrdík_skončil_jako_viceprezident.txt,misto,germany,False,False,False,False,True
Tvrdík_skončil_jako_viceprezident.txt,misto,russia,False,False,False,False,True
Tvrdík_skončil_jako_viceprezident.txt,misto,ukraine,False,False,False,False,True
Tvrdík_skončil_jako_viceprezident.txt,misto,other,False,False,True,False,True
Tvrdík_skončil_jako_viceprezident.txt,misto,unknown,False,False,False,False,True
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,rozsah,single_choice,3,3,3,3,--WORST-CASE
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,zanr,single_choice,report,report,report,report,--WORST-CASE
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,spoustec-zpravy,single_choice,security-forces,other,security-forces,security-forces,--WORST-CASE
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,misto,czech-republic,False,False,False,False,True
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,misto,slovakia,False,False,False,False,True
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,misto,poland,False,False,False,False,True
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,misto,germany,False,False,False,False,True
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,misto,russia,True,True,True,True,False
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,misto,ukraine,True,True,True,True,False
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,misto,other,False,False,False,False,True
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,misto,unknown,False,False,False,False,True
