rater,codebook,individual_questions,zpravodajske_hodnoty-negativita_majority_mean,zpravodajske_hodnoty-negativita_majority_ci_low,zpravodajske_hodnoty-negativita_majority_ci_high,zpravodajske_hodnoty-blizkost_majority_mean,zpravodajske_hodnoty-blizkost_majority_ci_low,zpravodajske_hodnoty-blizkost_majority_ci_high,zpravodajske_hodnoty-eliti_osoby_majority_mean,zpravodajske_hodnoty-eliti_osoby_majority_ci_low,zpravodajske_hodnoty-eliti_osoby_majority_ci_high,zpravodajske_hodnoty-personalizace_majority_mean,zpravodajske_hodnoty-personalizace_majority_ci_low,zpravodajske_hodnoty-personalizace_majority_ci_high,zpravodajske_hodnoty-dopad_majority_mean,zpravodajske_hodnoty-dopad_majority_ci_low,zpravodajske_hodnoty-dopad_majority_ci_high,temata_clanku-vnitrni_politicke_deni_majority_mean,temata_clanku-vnitrni_politicke_deni_majority_ci_low,temata_clanku-vnitrni_politicke_deni_majority_ci_high,temata_clanku-mezinarodni_politicke_reakce_majority_mean,temata_clanku-mezinarodni_politicke_reakce_majority_ci_low,temata_clanku-mezinarodni_politicke_reakce_majority_ci_high,temata_clanku-vojenske_operace_izraele_majority_mean,temata_clanku-vojenske_operace_izraele_majority_ci_low,temata_clanku-vojenske_operace_izraele_majority_ci_high,temata_clanku-teroristicke_operace_majority_mean,temata_clanku-teroristicke_operace_majority_ci_low,temata_clanku-teroristicke_operace_majority_ci_high,temata_clanku-dopad_na_izraelske_civilisty_majority_mean,temata_clanku-dopad_na_izraelske_civilisty_majority_ci_low,temata_clanku-dopad_na_izraelske_civilisty_majority_ci_high,temata_clanku-dopad_na_palestinske_civilisty_majority_mean,temata_clanku-dopad_na_palestinske_civilisty_majority_ci_low,temata_clanku-dopad_na_palestinske_civilisty_majority_ci_high,temata_clanku-humanitarni_pomoc_majority_mean,temata_clanku-humanitarni_pomoc_majority_ci_low,temata_clanku-humanitarni_pomoc_majority_ci_high,temata_clanku-globalni_reakce_verejnosti_majority_mean,temata_clanku-globalni_reakce_verejnosti_majority_ci_low,temata_clanku-globalni_reakce_verejnosti_majority_ci_high,temata_clanku-ekonomicke_dusledky_majority_mean,temata_clanku-ekonomicke_dusledky_majority_ci_low,temata_clanku-ekonomicke_dusledky_majority_ci_high,temata_clanku-historie_majority_mean,temata_clanku-historie_majority_ci_low,temata_clanku-historie_majority_ci_high,hlavni_tema_clanku_majority_mean,hlavni_tema_clanku_majority_ci_low,hlavni_tema_clanku_majority_ci_high,medialni_ramce-ramec_konfliktu_majority_mean,medialni_ramce-ramec_konfliktu_majority_ci_low,medialni_ramce-ramec_konfliktu_majority_ci_high,medialni_ramce-ramec_budovani_miru_majority_mean,medialni_ramce-ramec_budovani_miru_majority_ci_low,medialni_ramce-ramec_budovani_miru_majority_ci_high,medialni_ramce-humanitarni_ramec_majority_mean,medialni_ramce-humanitarni_ramec_majority_ci_low,medialni_ramce-humanitarni_ramec_majority_ci_high,medialni_ramce-historicko_kulturni_ramec_majority_mean,medialni_ramce-historicko_kulturni_ramec_majority_ci_low,medialni_ramce-historicko_kulturni_ramec_majority_ci_high,medialni_ramce-geopoliticky_ramec_majority_mean,medialni_ramce-geopoliticky_ramec_majority_ci_low,medialni_ramce-geopoliticky_ramec_majority_ci_high,medialni_ramce-lokalni_ramec_majority_mean,medialni_ramce-lokalni_ramec_majority_ci_low,medialni_ramce-lokalni_ramec_majority_ci_high,mluvci-politicti_predstavitele_izraele_majority_mean,mluvci-politicti_predstavitele_izraele_majority_ci_low,mluvci-politicti_predstavitele_izraele_majority_ci_high,mluvci-politicti_predstavitele_palestiny_majority_mean,mluvci-politicti_predstavitele_palestiny_majority_ci_low,mluvci-politicti_predstavitele_palestiny_majority_ci_high,mluvci-politici_z_blizkovychodnich_zemi_majority_mean,mluvci-politici_z_blizkovychodnich_zemi_majority_ci_low,mluvci-politici_z_blizkovychodnich_zemi_majority_ci_high,mluvci-politici_ze_ostatnich_svetovych_zemi_majority_mean,mluvci-politici_ze_ostatnich_svetovych_zemi_majority_ci_low,mluvci-politici_ze_ostatnich_svetovych_zemi_majority_ci_high,mluvci-predstavitele_mezinarodnich_a_neziskovych_organizaci_majority_mean,mluvci-predstavitele_mezinarodnich_a_neziskovych_organizaci_majority_ci_low,mluvci-predstavitele_mezinarodnich_a_neziskovych_organizaci_majority_ci_high,mluvci-vojensti_predstavitele_izraele_majority_mean,mluvci-vojensti_predstavitele_izraele_majority_ci_low,mluvci-vojensti_predstavitele_izraele_majority_ci_high,mluvci-clenove_teroristickych_skupin_majority_mean,mluvci-clenove_teroristickych_skupin_majority_ci_low,mluvci-clenove_teroristickych_skupin_majority_ci_high,mluvci-nezavisli_experti_a_analytici_majority_mean,mluvci-nezavisli_experti_a_analytici_majority_ci_low,mluvci-nezavisli_experti_a_analytici_majority_ci_high,mluvci-media_a_novinari_majority_mean,mluvci-media_a_novinari_majority_ci_low,mluvci-media_a_novinari_majority_ci_high,mluvci-ociti_svedci_a_civiliste_z_izraele_majority_mean,mluvci-ociti_svedci_a_civiliste_z_izraele_majority_ci_low,mluvci-ociti_svedci_a_civiliste_z_izraele_majority_ci_high,mluvci-ociti_svedci_a_civiliste_z_palestiny_majority_mean,mluvci-ociti_svedci_a_civiliste_z_palestiny_majority_ci_low,mluvci-ociti_svedci_a_civiliste_z_palestiny_majority_ci_high,zpravodajske_hodnoty_majority_mean,zpravodajske_hodnoty_majority_ci_low,zpravodajske_hodnoty_majority_ci_high,temata_clanku_majority_mean,temata_clanku_majority_ci_low,temata_clanku_majority_ci_high,medialni_ramce_majority_mean,medialni_ramce_majority_ci_low,medialni_ramce_majority_ci_high,mluvci_majority_mean,mluvci_majority_ci_low,mluvci_majority_ci_high,overall_majority_mean,overall_majority_ci_low,overall_majority_ci_high
minimax-minimax-m3,kveten,false,0.8203,0.74,0.89,0.9303,0.88,0.98,0.7694,0.68,0.85,0.8393,0.77,0.91,0.7403,0.65,0.82,0.8087,0.73,0.88,0.8897,0.83,0.95,0.7593,0.67,0.84,0.76,0.68,0.84,0.7797,0.7,0.86,0.9001,0.84,0.96,0.9207,0.86,0.97,0.9502,0.9,0.99,0.9803,0.95,1.0,0.7098,0.62,0.8,0.7495,0.67,0.83,0.9103,0.85,0.96,0.8996,0.84,0.95,0.7704,0.68,0.85,0.8802,0.82,0.94,0.8305,0.76,0.9,0.6612,0.56,0.75,0.9299,0.88,0.98,0.9198,0.86,0.97,0.93,0.88,0.98,0.8595,0.79,0.93,0.8603,0.79,0.92,0.9202,0.86,0.97,0.7996,0.72,0.87,0.9699,0.93,1.0,0.84,0.76,0.91,0.9701,0.93,1.0,0.98,0.95,1.0,0.8202,0.786,0.854,0.846,0.821,0.871,0.8252,0.795,0.855,0.9072,0.8891,0.9245,0.8556,0.8409,0.87
minimax-minimax-m3,kveten,true,0.8087,0.73,0.88,0.9189,0.86,0.97,0.6905,0.6,0.78,0.8293,0.7598,0.9,0.6812,0.59,0.77,0.83,0.75,0.9,0.8607,0.79,0.92,0.7801,0.7,0.86,0.7994,0.72,0.88,0.7791,0.7,0.86,0.8301,0.75,0.9,0.8795,0.81,0.94,0.9603,0.92,0.99,0.9504,0.9,0.99,0.6793,0.59,0.77,0.8104,0.73,0.88,0.9192,0.86,0.97,0.8797,0.81,0.94,0.6698,0.58,0.76,0.7403,0.65,0.82,0.8303,0.75,0.9,0.46,0.36,0.56,0.9105,0.85,0.96,0.9003,0.84,0.95,0.9507,0.91,0.99,0.8904,0.83,0.95,0.8999,0.84,0.95,0.93,0.88,0.98,0.7188,0.63,0.81,0.92,0.86,0.97,0.8499,0.78,0.92,0.9698,0.93,1.0,0.9797,0.95,1.0,0.7858,0.75,0.822,0.8348,0.809,0.86,0.7503,0.7183,0.7817,0.9017,0.8855,0.9173,0.8337,0.8206,0.8464
minimax-minimax-m3,srpen,false,0.8084,0.7273,0.88,0.9092,0.8485,0.96,0.8486,0.7755,0.9184,0.8197,0.74,0.89,0.6979,0.602,0.7879,0.808,0.73,0.88,0.8486,0.7778,0.9184,0.8183,0.74,0.89,0.7481,0.66,0.83,0.7682,0.68,0.85,0.8989,0.8367,0.95,0.9197,0.8673,0.9697,0.9593,0.9184,0.99,0.9697,0.93,1.0,0.8587,0.7879,0.9271,0.7674,0.6837,0.8485,0.9191,0.8586,0.9697,0.909,0.8485,0.96,0.8087,0.7273,0.88,0.9392,0.8889,0.98,0.8179,0.74,0.89,0.6157,0.52,0.71,0.9694,0.9293,1.0,0.9385,0.8878,0.9798,0.9384,0.8878,0.9798,0.9383,0.8866,0.9798,0.8364,0.7576,0.9072,0.9393,0.8878,0.9798,0.8977,0.8333,0.95,0.9284,0.875,0.9787,0.8374,0.76,0.9082,0.9694,0.9293,1.0,0.9899,0.9688,1.0,0.8162,0.7837,0.848,0.8596,0.8364,0.882,0.8347,0.8067,0.8633,0.9256,0.9091,0.9406,0.8677,0.8564,0.8792
minimax-minimax-m3,srpen,true,0.8095,0.73,0.88,0.9199,0.86,0.97,0.7795,0.7,0.86,0.8103,0.73,0.88,0.7193,0.63,0.81,0.8101,0.73,0.88,0.8597,0.79,0.92,0.8201,0.74,0.89,0.8197,0.74,0.89,0.7895,0.7,0.87,0.8698,0.8,0.93,0.9097,0.85,0.96,0.9801,0.95,1.0,0.9607,0.92,0.99,0.8104,0.73,0.88,0.738,0.65,0.82,0.9193,0.86,0.97,0.8896,0.83,0.95,0.6784,0.59,0.77,0.8209,0.74,0.89,0.7705,0.69,0.85,0.5589,0.46,0.65,0.8995,0.8384,0.95,0.9093,0.85,0.96,0.9602,0.9184,0.99,0.8884,0.82,0.9495,0.8486,0.7755,0.9184,0.909,0.8485,0.96,0.9093,0.8485,0.96,0.929,0.8776,0.9796,0.8288,0.7551,0.9,0.9796,0.949,1.0,0.9597,0.9192,0.99,0.808,0.774,0.842,0.8628,0.842,0.884,0.7733,0.7417,0.805,0.911,0.8944,0.9276,0.8508,0.8374,0.8641
mistralai-mistral-large-2512,kveten,false,0.8597,0.79,0.92,0.639,0.55,0.73,0.6397,0.54,0.73,0.8404,0.77,0.91,0.7501,0.66,0.83,0.6706,0.58,0.76,0.7495,0.66,0.83,0.7609,0.68,0.84,0.7806,0.7,0.86,0.6995,0.61,0.78,0.8696,0.8,0.93,0.8005,0.71,0.88,0.9803,0.95,1.0,0.9697,0.93,1.0,0.4803,0.38,0.58,0.7006,0.61,0.79,0.9297,0.88,0.97,0.9102,0.85,0.96,0.67,0.58,0.76,0.8803,0.81,0.94,0.8305,0.76,0.9,0.6605,0.56,0.75,0.87,0.8,0.93,0.901,0.84,0.95,0.9699,0.93,1.0,0.8803,0.81,0.94,0.8102,0.73,0.88,0.8804,0.81,0.94,0.7799,0.69,0.86,0.9097,0.85,0.96,0.7207,0.63,0.8,0.8185,0.74,0.89,0.8603,0.79,0.93,0.7461,0.714,0.778,0.776,0.753,0.797,0.813,0.7783,0.845,0.8545,0.8318,0.8764,0.8021,0.7882,0.8158
mistralai-mistral-large-2512,kveten,true,0.83,0.75,0.9,0.81,0.73,0.89,0.6204,0.52,0.71,0.9401,0.89,0.98,0.721,0.63,0.81,0.6399,0.54,0.73,0.8096,0.73,0.88,0.7602,0.67,0.84,0.7703,0.69,0.85,0.7001,0.6,0.79,0.8513,0.78,0.92,0.8295,0.75,0.9,0.9901,0.97,1.0,0.9599,0.92,0.99,0.3902,0.29,0.48,0.7101,0.62,0.8,0.9091,0.85,0.96,0.8998,0.84,0.96,0.7815,0.7,0.86,0.8297,0.75,0.9,0.8101,0.73,0.88,0.5302,0.43,0.62,0.8901,0.82,0.95,0.8999,0.84,0.95,0.9498,0.9,0.99,0.9195,0.86,0.97,0.85,0.78,0.92,0.86,0.79,0.92,0.5797,0.48,0.67,0.89,0.83,0.95,0.7808,0.7,0.86,0.901,0.84,0.96,0.8704,0.8,0.93,0.784,0.75,0.816,0.7696,0.746,0.794,0.7933,0.7633,0.8233,0.8535,0.8345,0.8727,0.8025,0.7888,0.8164
mistralai-mistral-large-2512,srpen,false,0.8702,0.8,0.93,0.9099,0.85,0.96,0.6897,0.6,0.78,0.851,0.78,0.92,0.749,0.66,0.83,0.7191,0.63,0.8,0.8603,0.79,0.93,0.7501,0.66,0.83,0.859,0.79,0.92,0.6996,0.61,0.79,0.84,0.76,0.91,0.9003,0.84,0.95,0.9698,0.93,1.0,0.9597,0.92,0.99,0.7102,0.62,0.8,0.6704,0.58,0.76,0.9301,0.88,0.97,0.9103,0.85,0.96,0.7497,0.66,0.83,0.9702,0.93,1.0,0.8298,0.75,0.9,0.6804,0.59,0.77,0.8885,0.8229,0.949,0.9695,0.93,1.0,0.9594,0.9184,0.99,0.8785,0.8081,0.9394,0.8288,0.7526,0.899,0.8786,0.81,0.9394,0.8786,0.8081,0.9394,0.9187,0.86,0.9697,0.5965,0.5,0.6907,0.8887,0.8265,0.949,0.9086,0.8485,0.96,0.8143,0.78,0.848,0.827,0.804,0.85,0.845,0.815,0.8734,0.8723,0.8534,0.8907,0.8387,0.8248,0.8523
mistralai-mistral-large-2512,srpen,true,0.8096,0.73,0.88,0.9495,0.91,0.99,0.6795,0.58,0.77,0.87,0.8,0.93,0.7695,0.68,0.85,0.7187,0.63,0.8,0.8706,0.8,0.93,0.8095,0.73,0.88,0.8407,0.76,0.91,0.7304,0.64,0.82,0.8595,0.79,0.92,0.8706,0.8,0.93,0.9695,0.93,1.0,0.97,0.93,1.0,0.6409,0.55,0.73,0.6194,0.53,0.71,0.9102,0.85,0.96,0.9102,0.85,0.96,0.7601,0.67,0.84,0.9096,0.85,0.96,0.8195,0.74,0.89,0.4295,0.33,0.53,0.9401,0.89,0.98,0.89,0.82,0.95,0.9702,0.93,1.0,0.9002,0.84,0.95,0.7997,0.72,0.87,0.8604,0.79,0.92,0.6816,0.59,0.77,0.9103,0.85,0.96,0.7798,0.7,0.86,0.9004,0.84,0.95,0.8899,0.83,0.95,0.8167,0.78,0.852,0.8282,0.806,0.85,0.7901,0.7633,0.8167,0.8652,0.8436,0.8864,0.8254,0.8115,0.8394
mistralai-mistral-small-2603,kveten,false,0.8198,0.74,0.89,0.6706,0.58,0.76,0.6498,0.56,0.74,0.7495,0.66,0.83,0.7602,0.67,0.84,0.6899,0.6,0.78,0.8309,0.76,0.9,0.7407,0.65,0.82,0.7497,0.67,0.83,0.7006,0.61,0.79,0.8306,0.76,0.9,0.8699,0.8,0.93,0.8602,0.79,0.93,0.9602,0.92,0.99,0.7795,0.69,0.86,0.6305,0.53,0.73,0.9004,0.84,0.95,0.8803,0.81,0.94,0.6402,0.55,0.73,0.7906,0.71,0.87,0.7699,0.68,0.85,0.6692,0.57,0.76,0.87,0.8,0.93,0.8899,0.82,0.95,0.8897,0.82,0.95,0.8901,0.83,0.95,0.8302,0.75,0.9,0.8808,0.81,0.94,0.8198,0.74,0.89,0.9003,0.84,0.95,0.7604,0.6798,0.84,0.9094,0.85,0.96,0.94,0.89,0.98,0.7304,0.69,0.77,0.801,0.775,0.826,0.7753,0.7433,0.8067,0.8708,0.8518,0.8882,0.8036,0.7885,0.8188
mistralai-mistral-small-2603,kveten,true,0.7903,0.71,0.87,0.6696,0.57,0.76,0.6198,0.52,0.71,0.7991,0.72,0.88,0.7105,0.62,0.8,0.7601,0.68,0.84,0.8293,0.75,0.9,0.8309,0.75,0.9,0.7502,0.66,0.83,0.7308,0.64,0.82,0.8599,0.79,0.93,0.8702,0.8,0.93,0.8898,0.83,0.95,0.9602,0.92,0.99,0.6294,0.53,0.72,0.6897,0.6,0.78,0.93,0.88,0.98,0.8904,0.83,0.95,0.699,0.61,0.79,0.8305,0.75,0.9,0.7288,0.64,0.81,0.6198,0.53,0.72,0.8596,0.79,0.92,0.8793,0.81,0.94,0.9497,0.9,0.99,0.871,0.8,0.93,0.8001,0.72,0.87,0.9097,0.85,0.96,0.6808,0.59,0.77,0.9201,0.86,0.97,0.7098,0.62,0.8,0.9298,0.88,0.97,0.9308,0.88,0.98,0.718,0.678,0.756,0.8112,0.783,0.84,0.7835,0.75,0.8167,0.858,0.8373,0.8782,0.8039,0.7891,0.8182
mistralai-mistral-small-2603,srpen,false,0.8299,0.75,0.9,0.6603,0.57,0.75,0.7393,0.65,0.83,0.6384,0.54,0.73,0.7506,0.66,0.83,0.6707,0.58,0.76,0.8097,0.73,0.88,0.8203,0.74,0.89,0.7198,0.63,0.81,0.6991,0.61,0.79,0.8598,0.79,0.92,0.8999,0.84,0.95,0.8808,0.81,0.94,0.9801,0.95,1.0,0.7692,0.69,0.85,0.6189,0.52,0.72,0.8499,0.78,0.92,0.92,0.8698,0.97,0.7605,0.68,0.84,0.8894,0.82,0.95,0.7304,0.64,0.81,0.6515,0.56,0.74,0.8893,0.82,0.95,0.9204,0.86,0.97,0.9301,0.88,0.98,0.8996,0.84,0.95,0.8404,0.77,0.91,0.8493,0.78,0.91,0.8697,0.8,0.93,0.9002,0.84,0.95,0.6206,0.53,0.72,0.96,0.92,0.99,0.9399,0.89,0.98,0.7245,0.69,0.76,0.8112,0.786,0.837,0.8,0.765,0.8333,0.8747,0.8555,0.8927,0.8113,0.7964,0.8255
mistralai-mistral-small-2603,srpen,true,0.83,0.75,0.9,0.7501,0.66,0.83,0.7603,0.67,0.84,0.6501,0.56,0.74,0.7296,0.64,0.82,0.6708,0.58,0.76,0.7495,0.66,0.83,0.8298,0.75,0.9,0.7297,0.64,0.81,0.7903,0.71,0.87,0.8394,0.77,0.91,0.8905,0.82,0.95,0.96,0.92,0.99,0.97,0.93,1.0,0.8697,0.8,0.93,0.6691,0.57,0.76,0.9106,0.85,0.96,0.8793,0.81,0.94,0.731,0.64,0.81,0.7998,0.72,0.88,0.7303,0.64,0.81,0.4902,0.39,0.59,0.8582,0.7841,0.9247,0.8809,0.8068,0.9444,0.9021,0.837,0.9574,0.9029,0.8387,0.957,0.8158,0.734,0.8913,0.9129,0.8495,0.9674,0.7929,0.7079,0.8764,0.9024,0.8387,0.957,0.6746,0.5795,0.7667,0.9452,0.8947,0.989,0.9455,0.8936,0.989,0.7442,0.706,0.782,0.8298,0.802,0.855,0.757,0.72,0.7917,0.8665,0.8466,0.8861,0.811,0.7979,0.824
moonshotai-kimi-k2.6,kveten,false,0.8429,0.7677,0.9149,0.9062,0.8438,0.9588,0.7805,0.697,0.8571,0.8952,0.8283,0.949,0.677,0.5806,0.7708,0.8432,0.7684,0.9158,0.8857,0.8211,0.9474,0.7928,0.7053,0.871,0.7804,0.6947,0.8617,0.8228,0.7449,0.8947,0.8958,0.8316,0.9574,0.8966,0.8316,0.9565,0.9373,0.8842,0.9794,0.9581,0.9158,0.9898,0.7704,0.6837,0.8542,0.7592,0.6735,0.8421,0.9066,0.8454,0.9588,0.8853,0.8163,0.9474,0.8542,0.7835,0.9184,0.8342,0.7579,0.9062,0.7287,0.6392,0.8163,0.8231,0.7449,0.8958,0.9262,0.8723,0.9694,0.8532,0.7789,0.9175,0.9578,0.914,0.9897,0.9368,0.8842,0.9792,0.8948,0.8265,0.949,0.9263,0.8687,0.9775,0.8529,0.78,0.9239,0.9367,0.8842,0.9794,0.7689,0.6804,0.8511,0.9896,0.9674,1.0,0.9788,0.9468,1.0,0.8207,0.7859,0.8522,0.8582,0.8351,0.88,0.8382,0.8058,0.8702,0.9111,0.8953,0.9269,0.8637,0.8503,0.877
moonshotai-kimi-k2.6,kveten,true,0.8106,0.73,0.88,0.9191,0.86,0.97,0.7791,0.69,0.86,0.8602,0.79,0.92,0.6206,0.53,0.71,0.8985,0.8351,0.9583,0.888,0.8229,0.949,0.8155,0.7347,0.8878,0.674,0.58,0.7653,0.8056,0.7245,0.8788,0.9183,0.8586,0.9694,0.9184,0.8586,0.9694,0.9592,0.9175,0.99,0.9691,0.9293,1.0,0.847,0.7755,0.91,0.7807,0.69,0.86,0.7596,0.67,0.84,0.8798,0.82,0.94,0.7989,0.72,0.88,0.8797,0.81,0.94,0.77,0.68,0.85,0.7596,0.67,0.84,0.9094,0.8485,0.96,0.8795,0.81,0.9394,0.9696,0.9293,1.0,0.9392,0.8889,0.98,0.9092,0.85,0.96,0.9193,0.86,0.9697,0.8182,0.7374,0.89,0.9395,0.8889,0.98,0.6672,0.5758,0.7576,0.9691,0.93,1.0,0.9695,0.9293,1.0,0.7983,0.762,0.834,0.8692,0.8459,0.8908,0.808,0.7767,0.8383,0.8989,0.88,0.9164,0.8545,0.8419,0.8675
moonshotai-kimi-k2.6,srpen,false,0.7923,0.7013,0.878,0.9267,0.8642,0.9762,0.9026,0.8333,0.9625,0.8172,0.7317,0.8961,0.769,0.6747,0.8571,0.7925,0.7011,0.8765,0.9264,0.8659,0.9762,0.8047,0.716,0.8846,0.7558,0.6623,0.8442,0.7679,0.6744,0.8554,0.9011,0.8313,0.9625,0.9029,0.8354,0.9634,0.9267,0.8659,0.9762,0.9757,0.9367,1.0,0.9393,0.8816,0.9875,0.7431,0.6456,0.8354,0.8287,0.7436,0.9048,0.879,0.8025,0.9474,0.8415,0.7595,0.9146,0.9638,0.9186,1.0,0.7565,0.6625,0.8471,0.7676,0.6706,0.8571,0.9242,0.8571,0.9753,0.9113,0.8442,0.9726,0.9498,0.8961,0.9881,0.9747,0.9351,1.0,0.8993,0.8267,0.962,0.9494,0.8961,0.988,0.8988,0.8267,0.962,0.9745,0.935,1.0,0.6589,0.5513,0.7619,0.9621,0.9143,1.0,0.9617,0.9136,1.0,0.8413,0.8049,0.8757,0.8696,0.8469,0.8916,0.8397,0.8023,0.8755,0.915,0.8983,0.9312,0.8712,0.8576,0.8844
moonshotai-kimi-k2.6,srpen,true,0.8102,0.73,0.88,0.9598,0.92,0.99,0.8209,0.75,0.89,0.8898,0.83,0.95,0.7603,0.67,0.84,0.8509,0.78,0.92,0.8692,0.8,0.93,0.8204,0.74,0.89,0.7801,0.69,0.86,0.7698,0.69,0.85,0.8991,0.84,0.96,0.9201,0.86,0.97,0.9603,0.92,0.99,0.9699,0.93,1.0,0.9099,0.85,0.96,0.7806,0.7,0.86,0.6803,0.59,0.77,0.8898,0.82,0.95,0.8495,0.78,0.91,0.9003,0.84,0.95,0.8198,0.74,0.89,0.7501,0.66,0.83,0.8751,0.8064,0.9375,0.8859,0.8182,0.9479,0.9687,0.9278,1.0,0.9483,0.9,0.9896,0.8746,0.8041,0.9375,0.9271,0.871,0.9783,0.8443,0.7684,0.9149,0.9275,0.8723,0.9787,0.6673,0.5758,0.7604,0.9684,0.9271,1.0,0.9578,0.9158,0.9898,0.8478,0.814,0.88,0.8749,0.854,0.896,0.8149,0.785,0.8434,0.8949,0.8775,0.9118,0.8636,0.8516,0.8754
nvidia-nemotron-3-super-120b-a12b,kveten,false,0.8299,0.75,0.9,0.94,0.89,0.98,0.7302,0.64,0.82,0.8102,0.73,0.88,0.6605,0.57,0.75,0.8092,0.73,0.88,0.8691,0.8,0.93,0.7497,0.66,0.83,0.6008,0.51,0.7,0.7211,0.63,0.81,0.8807,0.8198,0.94,0.9202,0.86,0.97,0.9095,0.85,0.96,0.9603,0.92,0.99,0.8598,0.79,0.92,0.6603,0.57,0.75,0.8689,0.798,0.93,0.8684,0.798,0.93,0.7469,0.6566,0.83,0.8575,0.7857,0.92,0.848,0.7755,0.9175,0.7588,0.67,0.84,0.8788,0.81,0.9394,0.9095,0.8485,0.96,0.9496,0.9,0.9899,0.8887,0.8265,0.949,0.8988,0.8351,0.95,0.8991,0.8384,0.95,0.8891,0.8211,0.9495,0.9393,0.8889,0.98,0.7279,0.6364,0.8101,0.9898,0.9694,1.0,1.0,1.0,1.0,0.7941,0.758,0.83,0.828,0.8,0.855,0.8249,0.79,0.8583,0.9061,0.8885,0.9229,0.8433,0.8286,0.8573
nvidia-nemotron-3-super-120b-a12b,kveten,true,0.8202,0.74,0.89,0.9297,0.87,0.98,0.7109,0.62,0.8,0.8303,0.75,0.9,0.5999,0.5,0.69,0.8096,0.73,0.88,0.8904,0.82,0.95,0.7802,0.69,0.86,0.6394,0.54,0.73,0.7802,0.7,0.86,0.89,0.83,0.95,0.8993,0.84,0.95,0.9102,0.85,0.96,0.9703,0.93,1.0,0.8398,0.77,0.91,0.73,0.64,0.81,0.8901,0.82,0.95,0.8397,0.77,0.91,0.8101,0.73,0.88,0.9101,0.85,0.96,0.7203,0.63,0.8,0.7104,0.62,0.8,0.9293,0.8775,0.9794,0.889,0.8247,0.9495,0.97,0.93,1.0,0.9395,0.8889,0.98,0.9091,0.8485,0.96,0.9201,0.866,0.9697,0.8177,0.7374,0.8889,0.8991,0.8367,0.95,0.6878,0.59,0.7778,0.9697,0.9293,1.0,0.9698,0.9293,1.0,0.7782,0.74,0.816,0.8411,0.817,0.865,0.8135,0.7817,0.8467,0.8998,0.8834,0.9156,0.8428,0.8297,0.8561
nvidia-nemotron-3-super-120b-a12b,srpen,false,0.8101,0.73,0.88,0.9498,0.9,0.99,0.8198,0.74,0.89,0.7597,0.67,0.84,0.7406,0.65,0.82,0.8074,0.7273,0.88,0.8978,0.8351,0.9495,0.7958,0.7143,0.87,0.6435,0.55,0.7368,0.7334,0.6458,0.8182,0.8675,0.7959,0.9293,0.888,0.8211,0.9485,0.9186,0.8586,0.9694,0.9591,0.9175,0.99,0.8871,0.8182,0.9479,0.6911,0.6,0.78,0.8501,0.78,0.92,0.8601,0.79,0.93,0.7596,0.67,0.84,0.9599,0.92,0.99,0.75,0.66,0.83,0.6703,0.58,0.76,0.9179,0.8571,0.9691,0.8776,0.8081,0.9388,0.9898,0.9684,1.0,0.8548,0.7835,0.9192,0.9072,0.8469,0.9592,0.9279,0.8763,0.9787,0.9171,0.86,0.9694,0.8963,0.8315,0.9495,0.6609,0.5625,0.7526,0.9588,0.9167,0.9899,0.9793,0.9479,1.0,0.8157,0.782,0.85,0.8397,0.8113,0.8673,0.808,0.7767,0.8383,0.8988,0.8819,0.9155,0.8458,0.8305,0.8608
nvidia-nemotron-3-super-120b-a12b,srpen,true,0.8101,0.73,0.88,0.98,0.95,1.0,0.77,0.68,0.85,0.7698,0.68,0.85,0.7306,0.64,0.81,0.7868,0.7041,0.8632,0.8987,0.8367,0.9583,0.8467,0.7732,0.9175,0.7449,0.6566,0.8265,0.7245,0.6363,0.8081,0.8779,0.8081,0.9394,0.8977,0.8351,0.95,0.938,0.8878,0.9798,0.939,0.8878,0.9798,0.9496,0.9,0.9898,0.6297,0.53,0.72,0.889,0.8229,0.949,0.8591,0.7879,0.92,0.7777,0.6939,0.8586,0.9084,0.8485,0.96,0.7075,0.6162,0.7959,0.6365,0.5408,0.7273,0.869,0.798,0.93,0.8787,0.81,0.9394,0.9601,0.9192,0.99,0.909,0.8485,0.96,0.869,0.798,0.93,0.9288,0.8763,0.9796,0.8583,0.7879,0.92,0.9084,0.8485,0.96,0.6273,0.53,0.72,0.9497,0.9,0.9899,0.9592,0.9184,0.99,0.8118,0.774,0.85,0.8602,0.8364,0.8818,0.796,0.766,0.8249,0.8833,0.8655,0.9008,0.8421,0.829,0.8547
