Chci_spravedlnost_pro_dceru.txt,5-range,range,5
Chci_spravedlnost_pro_dceru.txt,6-genre,genre,report
Chci_spravedlnost_pro_dceru.txt,8-message-trigger,message_trigger,public
Chci_spravedlnost_pro_dceru.txt,9-place,place,czech-republic
Tvrdík_skončil_jako_viceprezident.txt,5-range,range,4
Tvrdík_skončil_jako_viceprezident.txt,6-genre,genre,report
Tvrdík_skončil_jako_viceprezident.txt,8-message-trigger,message_trigger,public
Tvrdík_skončil_jako_viceprezident.txt,9-place,place,czech-republic
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,5-range,range,3
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,6-genre,genre,report
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,8-message-trigger,message_trigger,security-forces
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,9-place,place,ukraine,russia
