file,rating,rater_1.csv,rater_2.csv,rater_3.csv,majority,worst_case
Chci_spravedlnost_pro_dceru.txt,czech-republic,True,True,True,True,False
Chci_spravedlnost_pro_dceru.txt,slovakia,False,False,False,False,True
Chci_spravedlnost_pro_dceru.txt,poland,False,False,False,False,True
Chci_spravedlnost_pro_dceru.txt,germany,False,False,False,False,True
Chci_spravedlnost_pro_dceru.txt,russia,False,False,False,False,True
Chci_spravedlnost_pro_dceru.txt,ukraine,False,False,False,False,True
Chci_spravedlnost_pro_dceru.txt,other,False,False,False,False,True
Chci_spravedlnost_pro_dceru.txt,unknown,False,False,False,False,True
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,czech-republic,False,False,False,False,True
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,slovakia,False,False,False,False,True
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,poland,False,False,False,False,True
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,germany,False,False,False,False,True
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,russia,True,True,True,True,False
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,ukraine,True,True,True,True,False
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,other,False,False,False,False,True
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,unknown,False,False,False,False,True
Tvrdík_skončil_jako_viceprezident.txt,czech-republic,True,True,True,True,False
Tvrdík_skončil_jako_viceprezident.txt,slovakia,False,False,False,False,True
Tvrdík_skončil_jako_viceprezident.txt,poland,False,False,False,False,True
Tvrdík_skončil_jako_viceprezident.txt,germany,False,False,False,False,True
Tvrdík_skončil_jako_viceprezident.txt,russia,False,False,False,False,True
Tvrdík_skončil_jako_viceprezident.txt,ukraine,False,False,False,False,True
Tvrdík_skončil_jako_viceprezident.txt,other,False,False,True,False,True
Tvrdík_skončil_jako_viceprezident.txt,unknown,False,False,False,False,True
